generation,best_fitness,mean_fitness
0,0.7,0.39399999999999996
1,0.75,0.461
2,0.75,0.5285
3,0.8,0.57
4,0.75,0.6095
5,0.85,0.637
6,0.75,0.637
7,0.85,0.6609999999999999
8,0.8,0.6675
9,0.8,0.672
10,0.85,0.691
11,0.85,0.6934999999999999
12,0.8,0.71
13,0.9,0.701
14,0.9,0.7125
15,1.0,0.7190000000000001
16,0.85,0.7105
17,0.95,0.72
18,0.9,0.7195
19,0.9,0.7055
20,0.85,0.7215
21,0.9,0.7175
22,0.95,0.7134999999999999
23,0.9,0.731
24,0.9,0.7125
25,0.9,0.728
26,0.9,0.7234999999999999
27,0.95,0.722
28,0.95,0.7120000000000001
29,0.95,0.7495
30,0.9,0.7395
31,0.95,0.73
32,0.9,0.7354999999999999
33,1.0,0.7340000000000001
34,0.95,0.7375
35,1.0,0.753
36,1.0,0.747
37,1.0,0.746
38,0.95,0.752
39,0.95,0.743
40,0.95,0.736
41,0.95,0.7525
42,1.0,0.7415
43,0.95,0.7390000000000001
44,1.0,0.7655
45,0.95,0.7390000000000001
46,0.95,0.7505
47,0.95,0.7545000000000001
48,0.95,0.7440000000000001
49,0.95,0.731
